StaffID,Gender,Age,Date_of_Birth,Level, Salary ,Housing,Transport,Pension,Tax,Grosspay,Netpay
ICSL378,Female,35,32725,10,1070318,214063.6,160547.7,"85,625.44","42,812.72",1444929.3,1316491.14
ICSL892,Male,45,29072,6,469395,93879,70409.25,"37,551.60","18,775.80",633683.25,577355.85
ICSL872,Male,24,36743,4,1079677,215935.4,161951.55,"86,374.16","43,187.08",1457563.95,1328002.71
ICSL557,Female,22,37473,7,1105317,221063.4,165797.55,"88,425.36","44,212.68",1492177.95,1359539.91
ICSL820,Male,29,34916,9,394124,78824.8,59118.6,"31,529.92","15,764.96",532067.4,484772.52
ICSL962,Female,45,29072,4,613089,122617.8,91963.35,"49,047.12","24,523.56",827670.15,754099.47
ICSL508,Female,20,38204,10,141379,28275.8,21206.85,"11,310.32","5,655.16",190861.65,173896.17
ICSL873,Female,45,29072,7,273626,54725.2,41043.9,"21,890.08","10,945.04",369395.1,336559.98
ICSL669,Male,27,35647,6,496111,99222.2,74416.65,"39,688.88","19,844.44",669749.85,610216.53
ICSL640,Female,29,34916,6,395384,79076.8,59307.6,"31,630.72","15,815.36",533768.4,486322.32
ICSL269,Female,20,38204,6,71966,14393.2,10794.9,"5,757.28","2,878.64",97154.1,88518.18
ICSL615,Male,60,23594,10,282033,56406.6,42304.95,"22,562.64","11,281.32",380744.55,346900.59
ICSL512,Male,26,36012,10,653080,130616,97962,"52,246.40","26,123.20",881658,803288.4
ICSL808,Female,38,31629,9,944411,188882.2,141661.65,"75,552.88","37,776.44",1274954.85,1161625.53
ICSL285,Male,54,25785,7,511525,102305,76728.75,"40,922.00","20,461.00",690558.75,629175.75
ICSL341,Female,48,27977,9,171449,34289.8,25717.35,"13,715.92","6,857.96",231456.15,210882.27
ICSL488,Female,32,33821,5,457908,91581.6,68686.2,"36,632.64","18,316.32",618175.8,563226.84
ICSL464,Female,20,38204,10,354888,70977.6,53233.2,"28,391.04","14,195.52",479098.8,436512.24
ICSL468,Male,57,24689,4,1088652,217730.4,163297.8,"87,092.16","43,546.08",1469680.2,1339041.96
ICSL593,Female,59,23959,8,212533,42506.6,31879.95,"17,002.64","8,501.32",286919.55,261415.59
ICSL964,Female,60,23594,5,520764,104152.8,78114.6,"41,661.12","20,830.56",703031.4,640539.72
ICSL439,Female,19,38569,12,580628,116125.6,87094.2,"46,450.24","23,225.12",783847.8,714172.44
ICSL636,Male,49,27611,7,886173,177234.6,132925.95,"70,893.84","35,446.92",1196333.55,1089992.79
ICSL332,Female,36,32360,8,307842,61568.4,46176.3,"24,627.36","12,313.68",415586.7,378645.66
ICSL975,Female,44,29438,9,188063,37612.6,28209.45,"15,045.04","7,522.52",253885.05,231317.49
ICSL603,Female,56,25055,12,953795,190759,143069.25,"76,303.60","38,151.80",1287623.25,1173167.85
ICSL481,Female,39,31264,8,690032,138006.4,103504.8,"55,202.56","27,601.28",931543.2,848739.36
ICSL627,Male,56,25055,4,855838,171167.6,128375.7,"68,467.04","34,233.52",1155381.3,1052680.74
ICSL842,Female,49,27611,7,1111999,222399.8,166799.85,"88,959.92","44,479.96",1501198.65,1367758.77
ICSL446,Female,36,32360,10,625190,125038,93778.5,"50,015.20","25,007.60",844006.5,768983.7
ICSL402,Male,27,35647,12,1016868,203373.6,152530.2,"81,349.44","40,674.72",1372771.8,1250747.64
ICSL508,Male,57,24689,6,342264,68452.8,51339.6,"27,381.12","13,690.56",462056.4,420984.72
ICSL949,Female,33,33455,4,464833,92966.6,69724.95,"37,186.64","18,593.32",627524.55,571744.59
ICSL639,Female,50,27246,9,645991,129198.2,96898.65,"51,679.28","25,839.64",872087.85,794568.93
ICSL948,Male,46,28707,10,696024,139204.8,104403.6,"55,681.92","27,840.96",939632.4,856109.52
ICSL748,Female,43,29803,9,944475,188895,141671.25,"75,558.00","37,779.00",1275041.25,1161704.25
ICSL329,Male,21,37838,4,615059,123011.8,92258.85,"49,204.72","24,602.36",830329.65,756522.57
ICSL272,Female,49,27611,7,636710,127342,95506.5,"50,936.80","25,468.40",859558.5,783153.3
ICSL651,Female,22,37473,6,695553,139110.6,104332.95,"55,644.24","27,822.12",938996.55,855530.19
